STT,Mô tả yêu cầu,Tác nhân
635,Báo cáo tỷ lệ yêu cầu giải trình theo đặc điểm người yêu cầu,Cán bộ quản lý; Lãnh đạo đơn vị
636,Báo cáo Tỷ lệ yêu cầu giải trình từ người nước ngoài,Cán bộ quản lý; Lãnh đạo đơn vị
I.15,Báo cáo công dân gửi yêu cầu giải trình nhiều lần,
637,Báo cáo Số người yêu cầu giải trình lặp lại nhiều lần,Cán bộ quản lý; Lãnh đạo đơn vị
638,Tổng hợp công dân gửi đơn nhiều lần,"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
639,Theo dõi chi tiết danh sách đơn theo từng lần gửi của công dân,"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
640,Xuất báo cáo danh sách đơn theo từng lần gửi của công dân (PDF),"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
641,Xuất báo cáo danh sách đơn theo từng lần gửi của công dân (Excel),"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
I.16,Báo cáo Lượt tải xuống kết quả giải trình,
642,Báo cáo Lượt tải xuống kết quả giải trình công khai theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
643,"Báo cáo Lượt tải xuống kết quả giải trình công khai theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
644,Báo cáo Lượt tải xuống kết quả giải trình công khai theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
645,Báo cáo Lượt tải xuống kết quả giải trình công khai theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
646,Xuất báo cáo Lượt tải xuống kết quả giải trình công khai (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
647,Xuất báo cáo Lượt tải xuống kết quả giải trình công khai ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.17,Báo cáo tỷ lệ hồ sơ giải trình đủ căn cứ pháp lý,
648,Báo cáo tỷ lệ hồ sơ giải trình có đầy đủ căn cứ pháp lý theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
649,"Báo cáo tỷ lệ hồ sơ giải trình có đầy đủ căn cứ pháp lý theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
650,Báo cáo tỷ lệ hồ sơ giải trình có đầy đủ căn cứ pháp lý theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
651,Báo cáo tỷ lệ hồ sơ giải trình có đầy đủ căn cứ pháp lý theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
652,Xuất báo cáo tỷ lệ hồ sơ giải trình có đầy đủ căn cứ pháp lý (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
653,Xuất báo cáo tỷ lệ hồ sơ giải trình có đầy đủ căn cứ pháp lý (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.18,Báo cáo chất lượng tài liệu hồ sơ giải trình,
654,"Báo cáo tỷ lệ hồ sơ giải trình có đủ tài liệu, chứng cứ theo đơn vị",Cán bộ quản lý; Lãnh đạo đơn vị
655,"Báo cáo tỷ lệ hồ sơ giải trình có đủ tài liệu, chứng cứ theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
656,"Báo cáo tỷ lệ hồ sơ giải trình có đủ tài liệu, chứng cứ theo địa bàn",Cán bộ quản lý; Lãnh đạo đơn vị
657,"Báo cáo tỷ lệ hồ sơ giải trình có đủ tài liệu, chứng cứ theo chức danh",Cán bộ quản lý; Lãnh đạo đơn vị
658,Xuất báo cáo chất lượng tài liệu hồ sơ giải trình (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
659,Xuất báo cáo chất lượng tài liệu hồ sơ giải trình (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.19,Báo cáo mức độ đáp ứng nội dung giải trình,
660,Báo cáo tỷ lệ nội dung yêu cầu được giải trình đầy đủ theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
661,"Báo cáo tỷ lệ nội dung yêu cầu được giải trình đầy đủ theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
662,Báo cáo tỷ lệ nội dung yêu cầu được giải trình đầy đủ theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
663,Báo cáo tỷ lệ nội dung yêu cầu được giải trình đầy đủ theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
664,Xuất báo cáo mức độ đáp ứng nội dung giải trình (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
665,Xuất báo cáo mức độ đáp ứng nội dung giải trình (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.20,Báo cáo tỷ lệ hồ sơ giải trình không bị yêu cầu bổ sung,
666,Báo cáo tỷ lệ hồ sơ giải trình đã đạt yêu cầu theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
667,"Báo cáo tỷ lệ hồ sơ giải trình đã đạt yêu cầu theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
668,Báo cáo tỷ lệ hồ sơ giải trình đã đạt yêu cầu theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
669,Báo cáo tỷ lệ hồ sơ giải trình đã đạt yêu cầu theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
670,Xuất báo cáo tỷ lệ hồ sơ giải trình đã đạt yêu cầu (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
671,Xuất báo cáo tỷ lệ hồ sơ giải trình đã đạt yêu cầu ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.21,Báo cáo tỷ lệ hồ sơ giải trình đảm bảo tính chính xác,
672,"Tỷ lệ hồ sơ giải trình đảm bảo tính chính xác, thống nhất theo đơn vị",Cán bộ quản lý; Lãnh đạo đơn vị
673,"Tỷ lệ hồ sơ giải trình đảm bảo tính chính xác, thống nhất theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
674,"Tỷ lệ hồ sơ giải trình đảm bảo tính chính xác, thống nhất theo địa bàn",Cán bộ quản lý; Lãnh đạo đơn vị
675,"Tỷ lệ hồ sơ giải trình đảm bảo tính chính xác, thống nhất theo chức danh",Cán bộ quản lý; Lãnh đạo đơn vị
676,Xuất báo cáo tỷ lệ hồ sơ giải trình đảm bảo tính chính xác (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
677,Xuất báo cáo tỷ lệ hồ sơ giải trình đảm bảo tính chính xác ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.22,Báo cáo tỷ lệ tiếp nhận yêu cầu giải trình đúng thẩm quyền,
678,Báo cáo tỷ lệ yêu cầu giải trình được tiếp nhận đúng thẩm quyền theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
679,"Báo cáo tỷ lệ yêu cầu giải trình được tiếp nhận đúng thẩm quyền theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
680,Báo cáo tỷ lệ yêu cầu giải trình được tiếp nhận đúng thẩm quyền theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
681,Báo cáo tỷ lệ yêu cầu giải trình được tiếp nhận đúng thẩm quyền theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
682,Xuất báo cáo tỷ lệ tiếp nhận đúng thẩm quyền (PDF ),Cán bộ quản lý; Lãnh đạo đơn vị
683,Xuất báo cáo tỷ lệ tiếp nhận đúng thẩm quyền ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.23,Báo cáo tỷ lệ hồ sơ giải trình lập đầy đủ theo quy định,
684,Báo cáo tỷ lệ hồ sơ giải trình lập đủ thành phần theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
685,"Báo cáo tỷ lệ hồ sơ giải trình lập đủ thành phần theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
686,Báo cáo tỷ lệ hồ sơ giải trình lập đủ thành phần theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
687,Báo cáo tỷ lệ hồ sơ giải trình lập đủ thành phần theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
688,Xuất báo cáo tỷ lệ hồ sơ giải trình lập đầy đủ theo quy định (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
689,Xuất báo cáo tỷ lệ hồ sơ giải trình lập đầy đủ theo quy định (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.24,Báo cáo tỷ lệ hồ sơ giải trình được theo dõi/cập nhật đầy đủ,
690,Báo cáo tỷ lệ hồ sơ giải trình được theo dõi cập nhật đầy đủ theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
691,"Báo cáo tỷ lệ hồ sơ giải trình được theo dõi cập nhật đầy đủ theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
692,Báo cáo tỷ lệ hồ sơ giải trình được theo dõi cập nhật đầy đủ theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
693,Báo cáo tỷ lệ hồ sơ giải trình được theo dõi cập nhật đầy đủ theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
694,Xuất báo cáo tỷ lệ hồ sơ được theo dõi/cập nhật đầy đủ (PDF ),Cán bộ quản lý; Lãnh đạo đơn vị
695,Xuất báo cáo tỷ lệ hồ sơ được theo dõi/cập nhật đầy đủ ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.25,Báo cáo tỷ lệ đơn vị đã công khai quy trình giải trình,
696,Báo cáo tỷ lệ đơn vị đã công khai quy trình theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
697,"Báo cáo tỷ lệ đơn vị đã công khai quy trình theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
698,Báo cáo tỷ lệ đơn vị đã công khai quy trình theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
699,Báo cáo tỷ lệ đơn vị đã công khai quy trình theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
700,Xuất báo cáo tỷ lệ đơn vị đã công khai quy trình (PDF ),Cán bộ quản lý; Lãnh đạo đơn vị
701,Xuất báo cáo tỷ lệ đơn vị đã công khai quy trình ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.26,Báo cáo tỷ lệ kết quả giải trình được công khai theo quy định,
702,Báo cáo tỷ lệ kết quả giải trình đã được công khai theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
703,"Báo cáo tỷ lệ kết quả giải trình đã được công khai theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
704,Báo cáo tỷ lệ kết quả giải trình đã được công khai theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
705,Báo cáo tỷ lệ kết quả giải trình đã được công khai theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
706,Xuất báo cáo tỷ lệ kết quả giải trình được công khai theo quy đính (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
707,Xuất báo cáo tỷ lệ kết quả giải trình được công khai theo quy đính (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.27,Báo cáo tỷ lệ hồ sơ giải trình có thể tra cứu trên môi trường điện tử,
708,Báo cáo tỷ lệ hồ sơ giải trình tra cứu được trên hệ thống theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
709,"Báo cáo tỷ lệ hồ sơ giải trình tra cứu được trên hệ thống theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
710,Báo cáo tỷ lệ hồ sơ giải trình tra cứu được trên hệ thống theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
711,Báo cáo tỷ lệ hồ sơ giải trình tra cứu được trên hệ thống theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
712,Xuất báo cáo tỷ lệ hồ sơ giải trình tra cứu điện tử (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
713,Xuất báo cáo tỷ lệ hồ sơ GT tra cứu điện tử ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.28,Báo cáo tỷ lệ vụ giải trình không phát sinh giải trình lại,
714,Báo cáo tỷ lệ vụ giải trình không phát sinh giải trình lại theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
715,"Báo cáo tỷ lệ vụ giải trình không phát sinh giải trình lại theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
716,Báo cáo tỷ lệ vụ giải trình không phát sinh giải trình lại theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
717,Báo cáo tỷ lệ vụ giải trình không phát sinh giải trình lại theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
718,Xuất báo cáo tỷ lệ vụ giải trình không phát sinh giải trình lại (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
719,Xuất báo cáo tỷ lệ vụ giải trình không phát sinh giải trình lại ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.29,Báo cáo tỷ lệ vụ giải trình không phát sinh khiếu nại sau giải trình,
720,Báo cáo tỷ lệ vụ giải trình không phát sinh khiếu nại theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
721,"Báo cáo tỷ lệ vụ giải trình không phát sinh khiếu nại theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
722,Báo cáo tỷ lệ vụ giải trình không phát sinh khiếu nại theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
723,Báo cáo tỷ lệ vụ giải trình không phát sinh khiếu nại theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
724,Xuất báo cáo tỷ lệ vụ giải trình không phát sinh khiếu nại (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
725,Xuất báo cáo tỷ lệ vụ giải trình không phát sinh khiếu nại ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.30,Báo cáo tỷ lệ vụ giải trình không phát sinh tố cáo liên quan,
726,Báo cáo tỷ lệ vụ giải trình không phát sinh tố cáo theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
727,"Báo cáo tỷ lệ vụ giải trình không phát sinh tố cáo theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
728,Báo cáo tỷ lệ vụ giải trình không phát sinh tố cáo theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
729,Báo cáo tỷ lệ vụ giải trình không phát sinh tố cáo theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
730,Xuất báo cáo tỷ lệ vụ giải trình không phát sinh tố cáo (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
731,Xuất báo cáo tỷ lệ vụ giải trình không phát sinh tố cáo ( Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.31,Báo cáo tỷ lệ vi phạm trong thực hiện TNGT đã được xử lý,
732,Báo cáo tỷ lệ vi phạm TNGT đã được xử lý theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
733,"Báo cáo tỷ lệ vi phạm TNGT đã được xử lý theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
734,Báo cáo tỷ lệ vi phạm TNGT đã được xử lý theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
735,Báo cáo tỷ lệ vi phạm TNGT đã được xử lý theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
736,Xuất báo cáo tỷ lệ vi phạm TNGT đã xử lý (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
737,Xuất báo cáo tỷ lệ vi phạm TNGT đã xử lý (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.32,Báo cáo tỷ lệ kiến nghị sau kiểm tra/thanh tra đã thực hiện,
738,Báo cáo tỷ lệ kiến nghị sau kiểm tra/thanh tra đã được thực hiện theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
739,"Báo cáo tỷ lệ kiến nghị sau kiểm tra/thanh tra đã được thực hiện theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
740,Báo cáo tỷ lệ kiến nghị sau kiểm tra/thanh tra đã được thực hiện theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
741,Báo cáo tỷ lệ kiến nghị sau kiểm tra/thanh tra đã được thực hiện theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
742,Xuất báo cáo tỷ lệ kiến nghị sau kiểm tra/thanh tra đã thực hiện (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
743,Xuất báo cáo tỷ lệ kiến nghị sau kiểm tra/thanh tra đã thực hiện (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.33,Báo cáo tỷ lệ biện pháp khắc phục hậu quả vi phạm đã hoàn thành,
744,Báo cáo tỷ lệ biện pháp khắc phục hậu quả đã hoàn thành theo đơn vị,Cán bộ quản lý; Lãnh đạo đơn vị
745,"Báo cáo tỷ lệ biện pháp khắc phục hậu quả đã hoàn thành theo ngành, lĩnh vực",Cán bộ quản lý; Lãnh đạo đơn vị
746,Báo cáo tỷ lệ biện pháp khắc phục hậu quả đã hoàn thành theo địa bàn,Cán bộ quản lý; Lãnh đạo đơn vị
747,Báo cáo tỷ lệ biện pháp khắc phục hậu quả đã hoàn thành theo chức danh,Cán bộ quản lý; Lãnh đạo đơn vị
748,Xuất báo cáo tỷ lệ biện pháp khắc phục đã hoàn thành (PDF),Cán bộ quản lý; Lãnh đạo đơn vị
749,Xuất báo cáo tỷ lệ biện pháp khắc phục đã hoàn thành (Excel),Cán bộ quản lý; Lãnh đạo đơn vị
I.34,Báo cáo số lượng đơn giải trình đang xử lý của từng cá nhân,
750,Tổng hợp số lượng yêu cầu giải trình đang xử lý của từng cá nhân,"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
751,Theo dõi chi tiết danh sách yêu cầu giải trình đang xử lý của từng cá nhân,"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
752,Xuất báo cáo số lượng yêu cầu giải trình đang xử lý của từng cá nhân (PDF),"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
753,Xuất báo cáo số lượng yêu cầu giải trình đang xử lý của từng cá nhân ( Excel),"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
I.35,Báo cáo số lượng yêu cầu giải trình đã xử lý của từng cá nhân,
754,Tổng hợp số lượng yêu cầu giải trình đã xử lý của từng cá nhân,"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
755,Theo dõi chi tiết danh sách yêu cầu giải trình đã xử lý của từng cá nhân,"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
756,Xuất báo cáo số lượng yêu cầu giải trình đã xử lý của từng cá nhân (PDF),"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
757,Xuất báo cáo số lượng yêu cầu giải trình đã xử lý của từng cá nhân (Excel),"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
I.36,Báo cáo số lượng đơn quá hạn/tồn đọng theo từng cá nhân,
758,Tổng hợp số lượng đơn quá hạn/tồn đọng của từng cá nhân,"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
759,Theo dõi chi tiết danh sách số lượng đơn quá hạn/tồn đọng của từng cá nhân,"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
760,Xuất báo cáo số lượng yêu cầu giải trình quá hạn/tồn động của từng cá nhân (PDF),"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
761,Xuất báo cáo số lượng yêu cầu giải trình quá hạn/tồn động của từng cá nhân ( Excel),"Lãnh đạo cơ quan, Lãnh đạo đơn vị"
N,QUẢN LÝ DỮ LIỆU SỐ HOÁ,
I,Hệ thống tương tác trực tiếp với OCR,
762,Quản lý chất lượng số hóa tài liệu,Cán bộ văn thư / Cán bộ chuyên môn
763,Thực hiện scan / OCR tài liệu bằng phần mềm,Cán bộ văn thư
II,Quản lý biểu mẫu văn bản,
764,Tra cứu biểu mẫu văn bản,Quản trị viên hệ thống; Cán bộ văn thư
765,Quản lý các biểu mẫu văn bản,Quản trị viên hệ thống
766,Tải xuống hồ sơ yêu cầu giải trình bản (PDF),Người Yêu Cầu
III,Quản lý hành chính sau số hóa,
III.1,Quản lý kỳ số hóa yêu cầu giải trình,
767,Tra cứu kỳ số hóa yêu cầu giải trình,Cán bộ văn thư; Cán bộ chuyên môn
768,Quản lý thông tin kỳ số hóa yêu cầu giải trình,Cán bộ văn thư; Quản trị viên hệ thống
769,Quản lý danh sách yêu cầu giải trình được số hóa trong kỳ,Cán bộ văn thư; Cán bộ chuyên môn
770,Tra cứu hồ sơ số hoá yêu cầu giải trình,Cán bộ văn thư; Cán bộ chuyên môn
771,Quản lý yêu cầu giải trình được số hóa,Cán bộ văn thư
III.2,Quản lý kỳ số hóa văn bản giải trình bản giấy,
772,Tra cứu kỳ số hóa văn bản giải trình bản giấy,Cán bộ văn thư; Cán bộ chuyên môn
773,Quản lý thông tin kỳ số hóa văn bản giải trình bản giấy,Cán bộ văn thư; Quản trị viên hệ thống
774,Quản lý danh sách văn bản giải trình bản giấy được số hóa,Cán bộ văn thư; Cán bộ chuyên môn
775,Tra cứu văn bản giải trình bản giấy được số hóa,Cán bộ văn thư; Cán bộ chuyên môn
776,Quản lý văn bản giải trình bản giấy được số hóa,Cán bộ văn thư
III.3,Quản lý kỳ số hóa biên bản giải trình trực tiếp,
777,Tra cứu kỳ số hóa biên bản giải trình trực tiếp,Cán bộ văn thư; Cán bộ chuyên môn
778,Quản lý thông tin kỳ số hóa biên bản giải trình trực tiếp,Cán bộ văn thư; Quản trị viên hệ thống
779,Quản lý danh sách biên bản giải trình trực tiếp được số hóa,Cán bộ văn thư; Cán bộ chuyên môn
780,Tra cứu biên bản giải trình trực tiếp được số hóa,Cán bộ văn thư; Cán bộ chuyên môn
781,Quản lý biên bản giải trình trực tiếp được số hóa,Cán bộ văn thư
III.4,Quản lý kỳ số hóa phản hồi về giải trình,
782,Tra cứu kỳ số hóa phản hồi về giải trình,Cán bộ văn thư; Cán bộ chuyên môn
783,Quản lý thông tin kỳ số hóa phản hồi về giải trình,Cán bộ văn thư; Quản trị viên hệ thống
784,Quản lý danh sách phản hồi về giải trình được số hóa,Cán bộ văn thư; Cán bộ chuyên môn
785,Tra cứu phản hồi về giải trình được số hóa,Cán bộ văn thư; Cán bộ chuyên môn
786,Quản lý phản hồi về giải trình được số hóa,Cán bộ văn thư
O,GIÁM SÁT KẾT NỐI NDOP,
787,Quản lý giám sát kết nối NDOP,Quản trị viên hệ thống
P,DASHBOARD VÀ HỖ TRỢ RA QUYẾT ĐỊNH,
I,Dashboard tổng quan,
788,Dashboard tổng quan tình hình giải trình toàn quốc,Quản trị viên hệ thống
789,Dashboard tổng quan tình hình giải trình theo đơn vị,Quản trị viên hệ thống
790,"Dashboard tổng quan tình hình giải trình theo ngành, lĩnh vực",Quản trị viên hệ thống
791,Dashboard tổng quan tình hình giải trình theo địa bàn,Quản trị viên hệ thống
792,Cấu hình widget trên dashboard,Quản trị viên hệ thống
793,Xuất dashboard ra file PDF,Quản trị viên hệ thống
II,Biểu đồ trực quan,
794,Biểu đồ xu hướng số yêu cầu giải trình theo thời gian,Quản trị viên hệ thống
795,Biểu đồ phân bố yêu cầu giải trình theo lĩnh vực,Quản trị viên hệ thống
796,Biểu đồ thống kê yêu cầu giải trình theo tỉnh/thành,Quản trị viên hệ thống
797,"Biểu đồ so sánh các Bộ, ngành, địa phương",Quản trị viên hệ thống
798,Biểu đồ xếp hạng các cơ quan theo chỉ số đánh giá,Quản trị viên hệ thống
799,Biểu đồ tròn cơ cấu trạng thái yêu cầu giải trình,Quản trị viên hệ thống
800,Biểu đồ heatmap theo lĩnh vực và thời gian,Quản trị viên hệ thống
801,Biểu đồ phân bố yêu cầu giải trình theo cơ quan giải trình,Quản trị viên hệ thống
802,Biểu đồ tròn cơ cấu hình thức giải trình (trực tiếp/văn bản),Quản trị viên hệ thống
803,Biểu đồ cột thời gian xử lý trung bình yêu cầu giải trình,Quản trị viên hệ thống
804,Biểu đồ tỷ lệ giải trình đúng hạn/quá hạn,Quản trị viên hệ thống
805,Biểu đồ cột số lượng yêu cầu giải trình theo nhóm đối tượng,Quản trị viên hệ thống
806,Biểu đồ xếp hạng cơ quan theo hiệu quả thực hiện trách nhiệm giải trình,Quản trị viên hệ thống
807,Biểu đồ cột tổng hợp kết quả đánh giá trách nhiệm giải trình theo năm,Quản trị viên hệ thống
808,Xuất báo cáo tổng hợp kết quả đánh giá trách nhiệm giải trình theo năm ra file PDF,Quản trị viên hệ thống
809,Xuất báo cáo tổng hợp kết quả đánh giá trách nhiệm giải trình theo năm ra file Excel,Quản trị viên hệ thống
III,Cảnh báo và đề xuất,
810,Cảnh báo yêu cầu giải trình sắp đến hạn xử lý,Quản trị viên hệ thống
811,Cảnh báo yêu cầu giải trình quá hạn xử lý,Quản trị viên hệ thống
812,Cảnh báo cơ quan có nhiều khiếu nại,Quản trị viên hệ thống
813,Cảnh báo cơ quan có tỷ lệ từ chối cao,Quản trị viên hệ thống
814,Đề xuất nội dung trả lời từ các giải trình tương tự,Quản trị viên hệ thống
Q,TRUY CẬP CHO CƠ QUAN GIÁM SÁT,
I,Quản lý tài khoản cơ quan giám sát,
815,Tra cứu tài khoản cơ quan giám sát,Quản trị viên hệ thống
816,Quản lý tài khoản của cơ quan giám sát,Quản trị viên hệ thống
817,Quản lý phạm vi giám sát theo cấp,Quản trị viên hệ thống
II,Khai thác dữ liệu của cơ quan giám sát,
818,Tra cứu thông tin tổng hợp về giải trình,Lãnh đạo đơn vị/ Quản trị viên hệ thống
819,Xem báo cáo tổng hợp về giải trình,Lãnh đạo đơn vị/ Quản trị viên hệ thống
820,Theo dõi dashboard giám sát giải trình,Lãnh đạo đơn vị/ Quản trị viên hệ thống
821,Xuất dữ liệu phục vụ công tác giám sát,Lãnh đạo đơn vị/ Quản trị viên hệ thống
III,Nhật ký truy cập của cơ quan giám sát,
822,Quản lý nhật ký truy cập của cơ quan giám sát,Quản trị viên hệ thống
823,Thống kê tần suất truy cập theo cơ quan giám sát,Quản trị viên hệ thống
R,QUẢN LÝ THEO DÕI NHIỆM VỤ VÀ TIẾN ĐỘ,
I,Quản lý nhiệm vụ cán bộ,
824,Tra cứu nhiệm vụ giải trình được giao,"Cán bộ chuyên môn,Lãnh đạo đơn vị"
825,Quản lý nhiệm vụ giải trình được giao,Cán bộ chuyên môn
826,Cập nhật trạng thái thực hiện nhiệm vụ,Cán bộ chuyên môn
827,Báo cáo kết quả nhiệm vụ,Cán bộ chuyên môn
828,Duyệt kết quả thực hiện nhiệm vụ,Lãnh đạo đơn vị
829,Theo dõi lịch sử xử lý nhiệm vụ,Lãnh đạo đơn vị
II,Cảnh báo và nhắc nhở,
830,Cảnh báo nhiệm vụ chờ phê duyệt (chưa tiếp nhận),Quản trị viên hệ thống
831,Cảnh báo nhiệm vụ sắp hết hạn,Quản trị viên hệ thống
832,Cảnh báo nhiệm vụ quá hạn,Quản trị viên hệ thống
833,Cảnh báo chỉ tiêu chậm tiến độ/không đạt của việc đánh giá TNGT,Quản trị viên hệ thống
834,Nhắc nhở yêu cầu giải trình sắp đến hạn xử lý,Quản trị viên hệ thống
835,Nhắc nhở yêu cầu giải trình sắp đến hạn 15 ngày,Quản trị viên hệ thống
836,Nhắc nhở yêu cầu giải trình sắp đến hạn gia hạn,Quản trị viên hệ thống
III,Quản lý đôn đốc nhiệm vụ,
837,Quản lý danh sách hồ sơ giải trình sắp đến hạn,Lãnh đạo đơn vị CM
838,Quản lý danh sách hồ sơ chưa cập nhật tiến độ xử lý,Lãnh đạo đơn vị CM
839,Quản lý danh sách hồ sơ quá hạn,Lãnh đạo đơn vị CM
840,Lập và gửi yêu cầu đôn đốc cán bộ thực hiện nhiệm vụ,Lãnh đạo đơn vị CM
841,Tiếp nhận yêu cầu đôn đốc thực hiện nhiệm vụ,Cán bộ chuyên môn
842,Soạn dự thảo và trình duyệt văn bản đôn đốc,Cán bộ chuyên môn
